,Artist,Title,Location,Currency,Date,Signed,Sold,Selling Price,low_estimate,high_estimate,Category,Auction Name,Image
0,"French School, 18th Century, A white greyhound "," Ecole française du XVIIIe siècle, Lévrier blanc",Paris,USD,2022,False,False,0.0,5550.5,7770.7,Old Masters,ANIMALS,https://sothebys-md.brightspotcdn.com/dims4/default/c69de84/2147483647/strip/true/crop/1616x2000+0+0/resize/2048x2535!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F97%2F83%2F0cc1ea274aedbaf1afbf10d6de33%2Fpf2228-c8cyf-01.jpg
1,François Léon Prieur-Bardin,On the Bosphorus,London,USD,2022,True,True,62830.65,39367.57,52490.1,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/cd1cd4f/2147483647/strip/true/crop/2000x1327+0+0/resize/2048x1359!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F65%2F63%2F5f8f90514ed4be1febf6720e9218%2Fl22100-c6frw-01-t2.jpg
2,Stefano Ussi,A Moroccan Guard,London,USD,2022,False,True,7936.5,5249.01,7873.51,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/43b49c7/2147483647/strip/true/crop/1096x2000+0+0/resize/2048x3737!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F4d%2F53%2Ff755f5a94adf8932c98282bd4e85%2F020l22100-c38r9-t3-02-a.jpg
3,Ludwig Deutsch,Before the Mosque,London,USD,2022,True,False,0.0,262450.5,393675.75,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/f875147/2147483647/strip/true/crop/1487x2000+0+0/resize/2048x2755!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F57%2F45%2F294da06d40559a0213e2778c3967%2Fl22100-c29xv-01a-t1.jpg
4,Eugène Girardet,The Caravan,London,USD,2022,True,False,0.0,65612.62,91857.67,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/6bfd2ad/2147483647/strip/true/crop/2000x1176+0+0/resize/2048x1204!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F00%2F4d%2Fbfb956dc45838e3cef077c92dce2%2Fl22100-c52wp-01-t2.jpg
5,European School,The Musician,London,USD,2022,True,True,4629.63,2624.5,3936.76,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/69d43d7/2147483647/strip/true/crop/1632x2000+0+0/resize/2048x2510!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F1d%2F4c%2F22b9dc59453d9f3ef65f9e68e9f3%2Fl22100-c38hn-01-t3.jpg
6,Alberto Pasini,The Yesil Mosque in Bursa,London,USD,2022,True,True,99206.29,78735.15,104980.2,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/ddc0d05/2147483647/strip/true/crop/1177x2000+0+0/resize/2048x3480!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fd4%2F57%2F2a1389b14f47a5a8874104d4c075%2Fl22100-c6fry-01a-t1.jpg
7,René Legrand,"Halt by an Inn, North Africa",London,USD,2022,True,True,1653.44,2624.5,3936.76,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/c093bc4/2147483647/strip/true/crop/2000x1244+0+0/resize/2048x1274!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F05%2F20%2F447d56b84f9c830c8ec624f62668%2Fl22100-c38lr-01a-t2.jpg
8,Narcisse Berchère,Mahallet-el-Kebir (Lower Egypt),London,USD,2022,True,True,31415.32,15747.03,23620.54,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/a203075/2147483647/strip/true/crop/2000x1572+0+0/resize/2048x1610!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F0c%2F81%2F6516ac8d49578697dac971bf5063%2Fl22100-c6n4k-01-t2.jpg
9,Maurice Bompard,"Man with a Pipe, Biskra",London,USD,2022,True,True,9093.91,7873.51,10498.02,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/0773e98/2147483647/strip/true/crop/1401x2000+0+0/resize/2048x2924!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F7b%2F7d%2F7577486f4d608a5724237387d5a5%2Fl22100-c38kv-01-t2.jpg
10,Georges Washington,A Mounted Warrior,London,USD,2022,True,True,99206.29,15747.03,23620.54,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/395f0da/2147483647/strip/true/crop/1555x2000+0+0/resize/2048x2634!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F79%2Fe3%2F47a37fe5427985e46b00ad52de24%2F025l22100-c38rf-t2-01.jpg
11,George Henry Yewell,"In the Souk, Cairo",London,USD,2022,True,True,16534.38,10498.02,15747.03,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/f5f8ac9/2147483647/strip/true/crop/2000x1487+0+0/resize/2048x1523!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F05%2F18%2Fec3ece2345eb8ed0142ccac9fd28%2Fl22100-c69pz-01a-t2.jpg
12,Adriano Cecchi,A North African Woman,London,USD,2022,True,True,9093.91,7873.51,10498.02,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/876a931/2147483647/strip/true/crop/1678x2000+0+0/resize/2048x2441!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fac%2Ff3%2F551ee79641f483f9ab77686f6375%2F026l22100-c38q7-t2-01.jpg
13,William Simpson,Jerusalem from the Mount of Olives,London,USD,2022,True,False,0.0,104980.2,157470.3,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/3b891a2/2147483647/strip/true/crop/2000x1088+0+0/resize/2048x1114!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fd1%2Fa2%2F7dd43cf348f0994f9aa6cdcbb712%2Fl22100-c78v7-01-t1.jpg
14,Carlos Abascal,"The Beach, Tangier",London,USD,2022,True,False,0.0,19683.79,26245.05,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/89f76b6/2147483647/strip/true/crop/2000x1323+0+0/resize/2048x1355!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fc2%2Fa5%2F2c8212584dde85831fdcae20c91c%2Fl22100-c52wm-01-t2.jpg
15,Anna Richards Brewster,"Outside the Jaffa Gate, Jerusalem",London,USD,2022,True,True,24801.57,19683.79,26245.05,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/e0122c6/2147483647/strip/true/crop/1334x2000+0+0/resize/2048x3070!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fd0%2F5d%2Fe06fac6c464b8466a88aaaf3f523%2Fl22100-c5j42-01-t2-new.jpg
16,Philippe Pavy,The Warrior,London,USD,2022,True,True,11574.07,5249.01,7873.51,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/87044d8/2147483647/strip/true/crop/1278x2000+0+0/resize/2048x3205!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F88%2F0e%2F6fb692b54089a12160fa6184718d%2Fl22100-c38ld-01-t2.jpg
17,Pierre Jan van der Ouderaa,At Prayer,London,USD,2022,True,True,124007.86,78735.15,104980.2,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/8611c9e/2147483647/strip/true/crop/1285x2000+0+0/resize/2048x3188!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fe4%2Fe3%2F8fd159d14cf984a01a0aa05c7ee9%2Fl22100-c6fqp-01a-t1.jpg
18,Joseph van Severdonck,A Young Tuareg,London,USD,2022,True,True,16534.38,13122.52,19683.79,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/ff037ef/2147483647/strip/true/crop/1395x2000+0+0/resize/2048x2936!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F56%2Fac%2Ff4e2ccb34aebb47c4142a5f36324%2Fl22100-c42sv-01-t2.jpg
19,Frederick Arthur Bridgman,"Romeo, an Arabian Stallion in a Landscape",London,USD,2022,True,False,0.0,26245.05,39367.57,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/7ea4050/2147483647/strip/true/crop/2000x1788+0+0/resize/2048x1831!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fa7%2F14%2Fdc78dbc1419980bb1491d3422eb8%2Fl22100-c5wvp-01-t2.jpg
20,John Bagnold Burgess,"In the Alhambra, Warming her Hands",London,USD,2022,True,True,57870.34,13122.52,19683.79,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/d04af7e/2147483647/strip/true/crop/2000x1586+0+0/resize/2048x1624!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fa4%2F7f%2Ff8fb0dae465a91937d644c0301a9%2Fl22100-c64g3-01a-t2.jpg
21,Rudolf Ernst,A Bashi-Bazouk,London,USD,2022,True,True,69444.4,13122.52,19683.79,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/00cb20c/2147483647/strip/true/crop/1509x2000+0+0/resize/2048x2714!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Feb%2F68%2Fe85135564015b2fccebaf193eaff%2F021l22100-c38mx-t2-02-a.jpg
22,Richard Fuchs,Gate in Morocco,London,USD,2022,True,True,82671.91,52490.1,78735.15,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/702ef33/2147483647/strip/true/crop/1515x2000+0+0/resize/2048x2704!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F31%2Fec%2Fcf408a204bf080323df6cc65159d%2Fl22100-c6px6-01-t2.jpg
23,Ferdinand Roybet,An Algerian Beauty,London,USD,2022,True,True,9093.91,7873.51,10498.02,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/ac336c0/2147483647/strip/true/crop/1623x2000+0+0/resize/2048x2524!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fc2%2Fa3%2F7eb73ffa4bd1a7c50fb5976773dd%2Fl22100-c38lv-01a-t2.jpg
24,"European School, 19th Century",Boy wearing a Fez,London,USD,2022,True,True,3306.88,5249.01,7873.51,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/7d38622/2147483647/strip/true/crop/1167x2000+0+0/resize/2048x3510!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F41%2F6d%2F76dbebae423abc1d7ded6c097d45%2Fl22100-c38kx-01a-t2.jpg
25,Jean-Joseph Benjamin-Constant,Twilight,London,USD,2022,True,False,0.0,13122.52,19683.79,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/88cfe53/2147483647/strip/true/crop/1189x2000+0+0/resize/2048x3445!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F7d%2Fca%2F197d411846738c8c9a49e0a200ea%2F023l22100-c38mp-t2-02-a.jpg
26,Félix Ziem,La Corne d'Or,London,USD,2022,True,False,0.0,52490.1,78735.15,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/b0f636f/2147483647/strip/true/crop/2000x1317+0+0/resize/2048x1349!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F7e%2F61%2Fb260d8964f60896de57fb942fdc2%2Fl22100-c4grn-01-t2-new.jpg
27,Nils Forsberg,The Dance of the Almeh,London,USD,2022,True,False,0.0,78735.15,104980.2,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/49ddd21/2147483647/strip/true/crop/1168x2000+0+0/resize/2048x3507!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F43%2F37%2Fe069236448f3af33f59c75f09c82%2F028l22100-c38n5-t2-01.jpg
28,Virginia Santos Avellar,Portrait of a Young Man,London,USD,2022,True,True,16534.38,13122.52,19683.79,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/f5f4fdc/2147483647/strip/true/crop/1352x2000+0+0/resize/2048x3030!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F90%2Fdb%2F39298cbd4c75a5a271c4bb443bdd%2Fl22100-c52x4-01-t2.jpg
29,Charles Théodore Frère,Arrival of a Caravan outside Cairo,London,USD,2022,True,True,16534.38,7873.51,10498.02,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/dbe33f2/2147483647/strip/true/crop/2000x1109+0+0/resize/2048x1136!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F67%2Fa6%2F48fb6a8f4ab5bd00aed8fab3b8a7%2Fl22100-c6q6c-01a-t2.jpg
30,Carl Neumann,View of Beirut,London,USD,2022,True,True,107473.48,52490.1,78735.15,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/85cdf1c/2147483647/strip/true/crop/2000x1241+0+0/resize/2048x1271!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F4e%2F6b%2F293933564e54878cb2966aaf4c96%2Fl22100-c56m3-01-t2.jpg
31,Gustave Boulanger,The Tribute,London,USD,2022,True,True,140542.24,91857.67,131225.25,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/bde3069/2147483647/strip/true/crop/1391x2000+0+0/resize/2048x2945!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F3b%2F92%2F46822a8c44cba50f3319b687c4aa%2Fl22100-c5sxn-01-t1.jpg
32,Alberto Pasini,Watering the Horses,London,USD,2022,True,False,0.0,52490.1,78735.15,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/44c4ff6/2147483647/strip/true/crop/1465x2000+0+0/resize/2048x2796!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F40%2Fac%2F56bd84e8498a817e96afde4b6c5b%2Fl22100-c38ls-01-t2.jpg
33,Henri Rousseau,The Hunt,London,USD,2022,True,True,12400.79,3936.76,6561.26,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/1dd7e3b/2147483647/strip/true/crop/2000x1521+0+0/resize/2048x1558!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F68%2Fe5%2Ff166549b4236a2c25c1c1c961da1%2Fl22100-c38lt-01-t3.jpg
34,Jules Jacques Veyrassat,Women of Blidah,London,USD,2022,True,True,2314.81,1968.38,2624.5,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/e1bd4ca/2147483647/strip/true/crop/2000x1521+0+0/resize/2048x1558!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F71%2F79%2Faa0e134045b3a64eaa07ab67d3c8%2F019l22100-c38pw-bi-t3-02-a.jpg
35,Gustave Guillaumet,"A Man in Profile, Algeria",London,USD,2022,True,True,90939.1,26245.05,39367.57,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/2f51654/2147483647/strip/true/crop/1558x2000+0+0/resize/2048x2629!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F75%2Fd6%2F57ea75d94b569e7b63f860dc4f83%2Fl22100-c6fqq-01-t2.jpg
36,Charles Théodore Frère,The Halt of the Caravan,London,USD,2022,True,True,14054.22,6561.26,9185.77,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/e620fc7/2147483647/strip/true/crop/2000x1272+0+0/resize/2048x1303!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F1b%2Fa0%2Fe30f8d884e4699963fa8bdb44113%2Fl22100-c6f8b-01a-t2.jpg
37,Rudolf Ernst,The Guard,London,USD,2022,True,True,115740.67,52490.1,78735.15,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/cdffc0d/2147483647/strip/true/crop/1438x2000+0+0/resize/2048x2848!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F1c%2Fb3%2F76565e714fb79bc28426d56e9bfc%2Fl22100-c38l9-01a-t2.jpg
38,Jean Discart,"The Basket Weaver, Tangier",London,USD,2022,True,False,0.0,157470.3,236205.45,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/a1ed65a/2147483647/strip/true/crop/2000x1416+0+0/resize/2048x1450!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F56%2Ff4%2F81ae0d3241ca8fd6134639a4d94c%2Fl22100-c6y82-01a-t1.jpg
39,Jean-Léon Gérôme,A Veiled Beauty,London,USD,2022,True,True,363756.39,328063.12,459288.37,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/da5301d/2147483647/strip/true/crop/1566x2000+0+0/resize/2048x2616!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F92%2F72%2Ff905b88440229c45c5ab8514e168%2Fl22100-c63rh-01a.jpg
40,Hippolyte Lazerges,An Algerian Boy with Flowers,London,USD,2022,True,True,2314.81,1968.38,2624.5,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/78669f7/2147483647/strip/true/crop/1285x2000+0+0/resize/2048x3188!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fa9%2F23%2Fb9e7ce864bb7bdcab6344c6bb9b4%2F017l22100-c38nq-t3-02-a.jpg
41,Jean-Joseph Benjamin-Constant,At Rest,London,USD,2022,True,True,14880.94,13122.52,19683.79,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/3e50c54/2147483647/strip/true/crop/1218x2000+0+0/resize/2048x3363!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F62%2F63%2Fb835b172401884b4abfc1ec245d3%2F022l22100-c38mn-t2-02-a.jpg
42,Franz Kosler,Man in a Turban,London,USD,2022,True,True,19841.26,15747.03,19683.79,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/c438638/2147483647/strip/true/crop/1309x2000+0+0/resize/2048x3129!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Faa%2F31%2Ff967b51048cebfdc04e2f1e2963e%2Fl22100-c6frt-01a-t2.jpg
43,Adam Styka,"Resting in the Sunshine, Bou-Saâda",London,USD,2022,True,True,12400.79,7873.51,10498.02,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/6d46259/2147483647/strip/true/crop/2000x1575+0+0/resize/2048x1613!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F75%2F86%2F2d8aee0e42aeb303e9f14a9702fb%2Fl22100-c39hx-01.jpg
44,Charles Wilda,"Man in a White Turban, Cairo",London,USD,2022,True,True,21494.7,7873.51,10498.02,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/5e0a906/2147483647/strip/true/crop/1494x2000+0+0/resize/2048x2742!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fd6%2F73%2F4fcb0c814c00abb7b003b65998e2%2Fl22100-c6y62-cs-01unframedimage.jpg
45,Charles Théodore Frère,Sunset on the Nile,London,USD,2022,True,True,173611.01,78735.15,104980.2,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/282d58e/2147483647/strip/true/crop/2000x1220+0+0/resize/2048x1249!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F21%2Fc2%2Fdb5ababe40f29f63455e14fa860b%2Fl22100-c5qgp-01-t1.jpg
46,Eugène Fromentin,The Charge,London,USD,2022,True,True,52910.02,39367.57,65612.62,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/99da466/2147483647/strip/true/crop/1373x2000+0+0/resize/2048x2983!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F56%2F69%2Fed249cac4e388736f0189374fdc2%2F032l22100-c38qd-t2-01.jpg
47,Frederick Arthur Bridgman,On the Terrace,London,USD,2022,True,True,13227.51,10498.02,15747.03,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/aef8f53/2147483647/strip/true/crop/1273x2000+0+0/resize/2048x3218!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F87%2Fe8%2Fdd9c3c194175b20b7b7371545039%2Fl22100-c6n4j-01.jpg
48,Charles Louis Müller,Sultana Reading the Holy Qur'an,London,USD,2022,True,True,90939.1,39367.57,65612.62,Old Masters,The Orientalist Sale,https://sothebys-md.brightspotcdn.com/dims4/default/6b723b4/2147483647/strip/true/crop/1626x2000+0+0/resize/2048x2519!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fb1%2F13%2Fb3e093154472843e295d6c661392%2Fl22100-c7342-01-t2.jpg
49,Nelson Shanks,Gramercy Studio,New York,USD,2022,False,True,44100.0,15000.0,20000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/fc41e58/2147483647/strip/true/crop/2000x1781+0+0/resize/2048x1824!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F07%2F5f%2F481b8b48479baee209ac530d653c%2F051n10902-c2hch-01-a.jpg
50,Nelson Shanks,Luciano Pavarotti (A Sketch),New York,USD,2022,False,True,20160.0,15000.0,20000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/1d2eec5/2147483647/strip/true/crop/1622x2000+0+0/resize/2048x2525!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F7f%2F8f%2F2b3883234af0b6e5dbd2bf663eac%2F008n10902-c2hc3-03.jpg
51,Carlo Cignani,An Allegory of the Five Senses,New York,USD,2022,False,True,327600.0,150000.0,200000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/516f45c/2147483647/strip/true/crop/2000x1692+0+0/resize/2048x1733!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F3b%2F00%2F09f213954bb4aa1b976377ce109f%2F046n10902-8ftc7-t1-04.jpg
52,Guido Cagnacci,An allegory of Vanity and Penitence,New York,USD,2022,True,False,0.0,800000.0,1200000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/44bd134/2147483647/strip/true/crop/1743x2000+0+0/resize/2048x2350!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F9a%2F0b%2F9aa136ff4c9ba51f44010dbbeddc%2F004n10902-8ftdj-03.jpg
53,Bartolomeo Schedoni,The Penitent Magdalene in meditation with two angels,New York,USD,2022,True,False,0.0,80000.0,120000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/9c8fb1d/2147483647/strip/true/crop/1598x2000+0+0/resize/2048x2563!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F39%2F2b%2F7d5d74e94811bad460710f2cac37%2F019n10902-8fsyz-03.jpg
54,Alessandro Tiarini,Joseph's bloodied clothes shown to Rachel and Jacob,New York,USD,2022,False,True,564500.0,250000.0,350000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/ffed9c2/2147483647/strip/true/crop/2000x1722+0+0/resize/2048x1763!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F43%2Fb1%2F381f9c2c4566aa8d687c3b94291a%2F042n10902-8fsxx-t1-04.jpg
55,Giovanni Maria Morandi,The Rest on the Flight to Egypt,New York,USD,2022,True,True,13230.0,8000.0,12000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/40f18d2/2147483647/strip/true/crop/1490x2000+0+0/resize/2048x2749!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F4e%2F58%2F81421e1643d6b5332b21d12a99ca%2F015n10902-8ft7d-03.jpg
56,Giovanni Lanfranco,The Holy Family with the Infant Saint John the Baptist,New York,USD,2022,False,True,94500.0,30000.0,50000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/7d502e2/2147483647/strip/true/crop/1515x2000+0+0/resize/2048x2704!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fde%2F34%2F3262e0294c5fa63f88d75c74da1b%2F003n10902-8ft7w-03.jpg
57,Nelson Shanks,Renée Fleming (A Sketch),New York,USD,2022,False,True,15120.0,15000.0,20000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/bea0188/2147483647/strip/true/crop/1527x2000+0+0/resize/2048x2682!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F7b%2F07%2F015674c74b828b29fbfcdf6dedc3%2F010n10902-c2hc2-01.jpg
58,Nelson Shanks,William Jefferson Clinton (A Sketch),New York,USD,2022,False,True,32760.0,15000.0,20000.0,Old Masters,Master to Master: The Nelson Shanks Collection,https://sothebys-md.brightspotcdn.com/dims4/default/4e9ef40/2147483647/strip/true/crop/1580x2000+0+0/resize/2048x2592!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F0b%2Ff3%2F475cdc834dd49e635015db3b5d93%2F050n10902-c2h5n-01-a.jpg
